social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
82.51036874563965,83.25591152544584,67.88314013554275,80.0,0.9500000000000002,648.5240031678868,0.3602315627180177,79.52618371783392,0.027728098084386824,moderate,0.8700000000000001,MODERATE,maximum_protection,18
82.83650010057497,84.53995784974477,68.68822897515986,80.0,0.8916666666666665,587.789109764154,0.34479999497125147,82.67830211252786,0.02656814976331898,moderate,0.8700000000000001,MODERATE,maximum_protection,19
82.87409661664016,83.87720462242514,68.37565061953265,80.0,1.0000000000000002,684.910375948423,0.3412951691679924,81.11338721466457,0.028407513172034958,moderate,0.8700000000000001,MODERATE,maximum_protection,20
82.68757569108499,83.89723565399524,68.29240567254011,80.0,0.8666666666666666,651.692959502067,0.3526212154457504,81.13285901518995,0.027795397604038152,moderate,0.8700000000000001,MODERATE,maximum_protection,21
83.87557241528917,83.92162535073604,68.8985988830126,80.0,0.8749999999999999,665.9705748275202,0.29309637923554166,81.20769955817578,0.028072723626713984,moderate,0.8700000000000001,MODERATE,maximum_protection,22
82.77582115229112,84.3960692406335,68.5859451964623,80.0,0.7750000000000001,713.2279679510197,0.3495839423854443,82.43506882048031,0.028897914377931936,moderate,0.8700000000000001,MODERATE,maximum_protection,23
81.3049412712436,83.15812051458893,67.23153089291627,80.0,0.8583333333333334,615.4869926612024,0.4218779364378198,79.25038338640891,0.027101641998732537,moderate,0.8700000000000001,MODERATE,maximum_protection,24
82.28382416007231,85.42008402039394,68.85195409023314,80.0,0.8749999999999999,683.6082129570932,0.37268379199638413,84.96874016446799,0.02837060226966369,moderate,0.8700000000000001,MODERATE,maximum_protection,25
81.49064205233621,84.78034454534608,68.13549329884114,80.0,0.9416666666666667,685.9944985552629,0.41134289738318963,83.37174948789658,0.028417762490627958,moderate,0.8700000000000001,MODERATE,maximum_protection,26
83.6517386478297,83.87638348598216,68.76406106690592,80.0,0.8916666666666666,661.3873935144004,0.30403806760851504,81.08967037759362,0.027974233252764914,moderate,0.8700000000000001,MODERATE,maximum_protection,27
82.9123909774901,84.86456316746663,68.88847707247837,80.0,0.8166666666666665,630.7319183062434,0.34213045112549456,83.53134233046487,0.027398688235966907,moderate,0.8700000000000001,MODERATE,maximum_protection,28
82.45612983596894,83.53544484608892,67.99578734102893,80.0,0.9500000000000002,664.5834916824003,0.3629435082015533,80.23989781090022,0.028025713913558414,moderate,0.8700000000000001,MODERATE,maximum_protection,29
48.975,19.01752800160684,18.99626400080342,0.0,3.4166666666666665,3463.118502306321,0.0,0.0,0.04912359991965782,high,0.0,HIGH,no_protection,0
48.965,19.027747238369365,18.99637361918468,0.0,3.4499999999999997,3330.991755282349,0.0,0.0,0.04861263808153187,high,0.0,HIGH,no_protection,1
48.9825,19.041994017306475,19.01224700865324,0.0,3.391666666666667,3175.0538197258797,0.0,0.0,0.047900299134676444,high,0.0,HIGH,no_protection,2
